,풀리_1,풀리_2,풀리_3,풀리_4,풀리_5,풀리_6,풀리_7,풀리_8,풀리_9,풀리_10,풀리_11,풀리_12,풀리_13,풀리_14,풀리_15,풀리_16,풀리_17,풀리_18,풀리_19,풀리_20
Yard,0.0,88.33567810058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,86.60299682617188,0.0,0.0,0.0,56.96213150024414,0.0,0.0,0.0,94.77758026123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rainforest,0.0,83.83942413330078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,80.72557067871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.77758026123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Park,0.0,79.9277114868164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.94929885864258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,79.9277114868164,0.0,0.0,0.0,97.90767669677734,0.0,0.0,0.0,71.93711853027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Landscape,0.0,76.30689239501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rock,0.0,67.00959014892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oak,0.0,66.78478240966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Countryside,0.0,66.1201400756836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.61067199707031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
